,x,y,cluster
0,0.4356993111185331,0.7712013217965699,8
1,-0.5652890988478724,-0.5383113163321739,6
2,-0.6425360934044221,-0.0921411358003154,6
3,0.14360654891461186,-0.781336677485337,5
4,-0.21311320234662937,-0.6868667251444717,6
5,-0.6588272598173155,-0.18846052567474025,6
6,0.3241983585288793,0.7159395038211877,6
7,-0.48796190379829013,0.6493990455972942,6
8,-0.5512725586268624,0.19453755719430088,5
9,-0.45567138736785684,-0.018638646755103523,6
10,0.5669038722428209,-0.5862543841443769,6
11,0.8523579389746412,0.12188757854035465,5
12,-0.26945505655502705,-0.6557058648215399,5
13,0.2663371876566458,0.8207637871156982,8
14,-0.711795792132314,0.3838222587516088,6
15,-0.136494265846725,-0.7849137863136741,6
16,0.7608916222347575,0.5074773544444184,7
17,0.1106179523880554,0.8362526330515755,6
18,0.8570817334724469,-0.09643018535818441,6
19,-0.7062536198136019,0.3759046170067106,6
20,0.8746940458879101,0.06724899159834534,5
21,-0.5576831772500072,-0.4645067520121245,6
22,0.6929914747549806,-0.072664602695411,5
23,0.882078336178241,-0.004052687804907924,6
24,0.3636360186775625,-0.6861302992118331,5
25,0.7940051011840173,-0.242956155951496,5
26,-0.7191934478715196,0.3551774793700927,4
27,0.4661101644418186,0.42994434727325664,7
28,-0.2818440469297363,-0.7472812785955435,5
29,-0.6257789144976791,0.5040767955888108,6
30,-0.46661068202834166,-0.6414839035941021,5
31,-0.22763970605666203,0.061381155015826014,6
32,0.0015596859127120055,-0.6012768587090058,5
33,-0.03337473094273762,0.8360445626494967,7
34,-0.6932167203005121,0.3729367712096407,7
35,-0.2641028001697883,-0.7276724152832384,6
36,-0.6792995839070243,0.43876280044134336,6
37,-0.07983717905913142,-0.6119381124862289,5
38,-0.7864741161679059,-0.12077395444921013,5
39,0.8161744826790028,0.3793566712890474,7
40,0.1311229746295841,-0.7301691990521793,5
41,0.7626547532735571,0.38784556992356917,7
42,0.09444313674587507,-0.025252647285718688,5
43,-0.6543645274685538,-0.051672758000708294,5
44,0.38709797556176917,-0.4953932449746039,5
45,0.18317860570865616,-0.7331822522206672,5
46,-0.2688684550808434,-0.6155387996961265,4
47,0.5877732101875938,-0.14012935890585804,5
48,0.6494654381062399,-0.4045170699927728,5
49,0.8677115715501393,0.08900681197258008,5
50,-0.29764216523559295,0.6486362610777029,6
51,-0.5808120743771508,-0.30460673540381505,3
52,0.08383863259654523,0.8125974646721104,6
53,-0.7864741161679075,-0.12077395444921762,5
54,0.2732577778825654,-0.6534299869960613,5
55,0.32419835840458844,0.7159395039388516,6
56,-0.6072232772741875,-0.47865173768460767,6
57,-0.09260667280876023,0.3426019969593446,5
58,0.8143122798227735,0.42492373052476196,7
59,-0.5748557202084574,0.2501125421784031,5
60,0.7140156162868919,-0.033909647013483105,5
61,0.04527136882813488,-0.7716192939956086,5
62,-0.5894712011910457,-0.47844512789682814,5
63,-0.7137469895087747,0.34356590821054345,6
64,0.06935828278765035,0.8366752320674453,6
65,0.08346133331796377,-0.7104332354468399,5
66,0.8809383408484525,-0.03013131833113601,7
67,-0.6106969472232605,-0.12327767165653064,5
68,-0.4885309027159354,0.0120387799192714,5
69,-0.5180070203913328,0.3469135673111854,5
70,-0.4392347985829829,0.6136175204076815,6
71,0.12888540427983586,-0.7788608229293073,5
72,-0.7256983292187471,-0.25693632978247244,6
73,-0.597955279195184,0.5634911926387993,6
74,0.20443714537406713,0.8542284508902154,7
75,0.034433506860371714,0.7002079390518071,5
76,0.19259740520898308,0.8039307211649366,7
77,-0.7755367181010882,0.22276537188633133,6
78,-0.05945707953368742,-0.1280844005306176,5
79,-0.6948984109878437,-0.2448808411076969,5
80,0.05111305460471596,-0.7172961851600242,5
81,0.24623810579501065,-0.7185294944035098,5
82,0.5103319906493649,0.6751944165414928,6
83,0.3246890902085861,0.7812369762803402,7
84,-0.6579849200034341,-0.33873307880331255,5
85,-0.6892718047265162,-0.16290695175791245,5
86,0.0344335068599598,0.7002079390523553,5
87,-0.2818440469423946,-0.7472812785881863,5
88,-0.5637147941964477,0.5351601599110517,7
89,0.8642256252728967,-0.032838581241777985,7
90,0.4110950387103955,-0.19811264821107966,5
91,0.8435864917867251,0.2680751166790519,7
