,x,y
0,1,27.86621517827736
1,2,17.04979093686012
2,3,12.649259181646007
3,4,10.904189079722755
4,5,9.445314939328675
5,6,9.223895417740177
6,7,8.253225178164882
7,8,7.944301183871069
8,9,7.363648731618566
9,10,7.000141386400734
10,11,6.760816107238231
11,12,6.438062664803122
12,13,6.2662590926326835
13,14,6.0338466227742975
14,15,5.976144625132115
