,index,value
0,1,27.703540060819353
1,2,19.231109453525068
2,3,16.359380725956694
3,4,8.749246752324648
4,5,7.925421493190665
5,6,6.029185886898354
6,7,4.192907166649955
7,8,3.887808164798358
8,9,3.0515120519030834
9,10,2.1580885957931746
10,11,0.7117996481406441
