,index,value
0,1,27.075820854904865
1,2,18.552517655376263
2,3,17.029151842631457
3,4,8.783604646800724
4,5,8.198581542576596
5,6,6.184908502703959
6,7,4.32569556075504
7,8,4.056572595755579
8,9,2.888180763202149
9,10,2.1131486752736044
10,11,0.7918173600197637
